src,dst,weight
0,532,0.8593578934669495
0,383,0.7775978446006775
0,534,0.7683639526367188
0,220,0.7654556035995483
0,184,0.7652825117111206
0,239,0.7627898454666138
0,479,0.7559919357299805
0,404,0.7551672458648682
0,255,0.7551672458648682
0,563,0.7547203302383423
0,183,0.7524460554122925
0,223,0.7506054043769836
1,174,0.9505051374435425
1,344,0.9418839812278748
1,214,0.9306363463401794
1,511,0.9208338856697083
1,124,0.9206172227859497
1,508,0.9183533787727356
1,505,0.9083041548728943
1,367,0.9045430421829224
1,60,0.8985360860824585
1,153,0.8956062197685242
1,130,0.8949011564254761
1,346,0.8944986462593079
1,21,0.8717408180236816
1,50,0.8455095887184143
1,63,0.8208566904067993
1,64,0.8786367774009705
1,105,0.8631892204284668
1,150,0.8668000102043152
1,158,0.8563075661659241
1,160,0.8433214426040649
1,178,0.8335055112838745
1,215,0.8865483999252319
1,227,0.8743965029716492
1,251,0.8524758219718933
1,298,0.8726882934570312
1,310,0.8920616507530212
1,394,0.840705931186676
1,399,0.8905620574951172
1,455,0.8652238249778748
1,480,0.8908486366271973
1,490,0.8937466740608215
1,522,0.863693356513977
1,555,0.8681064248085022
2,33,0.8369149565696716
2,267,0.8315483927726746
2,422,0.8311996459960938
2,569,0.8284218311309814
2,104,0.8281427621841431
2,233,0.827648937702179
2,234,0.8244137763977051
2,113,0.82402503490448
2,525,0.8238691091537476
2,562,0.8224859237670898
2,383,0.8221463561058044
2,239,0.8203900456428528
2,272,0.8167494535446167
2,386,0.8063312768936157
2,575,0.8033259510993958
3,341,0.9154285788536072
3,379,0.8972909450531006
3,366,0.8800941109657288
3,358,0.8695092797279358
3,499,0.864935576915741
3,378,0.8560816645622253
3,161,0.8511887192726135
3,339,0.8495151996612549
3,264,0.8435998558998108
3,571,0.8390082716941833
3,43,0.8336703181266785
3,485,0.8311061263084412
3,274,0.8139219880104065
3,340,0.8242006897926331
3,431,0.8222623467445374
3,454,0.8055970072746277
4,585,0.9247068166732788
4,85,0.9002509713172913
4,176,0.8751308917999268
4,32,0.8720265030860901
4,267,0.8318809866905212
4,543,0.8288374543190002
4,127,0.8288222551345825
4,225,0.8277173042297363
4,374,0.8277173042297363
4,477,0.8086551427841187
4,553,0.8039722442626953
4,286,0.8015343546867371
4,167,0.7742702960968018
4,168,0.7742702960968018
5,6,0.9602341651916504
5,164,0.836893618106842
5,284,0.8354240655899048
5,550,0.802695631980896
5,268,0.8004428744316101
5,464,0.7914188504219055
5,229,0.7891437411308289
5,58,0.7885951399803162
5,477,0.7870631814002991
5,476,0.7864576578140259
5,121,0.7864130735397339
5,482,0.7840367555618286
6,164,0.8451701998710632
6,464,0.8101982474327087
6,268,0.8034762144088745
6,477,0.8012851476669312
6,229,0.7960119247436523
6,284,0.7944420576095581
6,476,0.7938560247421265
6,253,0.7932835221290588
6,28,0.7927391529083252
6,269,0.7901542782783508
6,553,0.7887994050979614
6,58,0.7336393594741821
6,550,0.7636635303497314
7,241,0.8858341574668884
7,513,0.8809860944747925
7,254,0.8708615899085999
7,36,0.8687769174575806
7,534,0.8658959865570068
7,70,0.861478865146637
7,243,0.861478865146637
7,242,0.861478865146637
7,240,0.861478865146637
7,456,0.8605765700340271
7,558,0.8605765700340271
7,589,0.85992830991745
7,47,0.8347672820091248
7,65,0.8230581283569336
7,184,0.8436126112937927
7,188,0.8227910399436951
7,255,0.8297641277313232
7,288,0.8428350687026978
7,392,0.7861598134040833
7,404,0.8297641277313232
7,427,0.838228166103363
7,438,0.8365592956542969
7,440,0.845761775970459
7,532,0.8177281618118286
7,559,0.8371515870094299
7,563,0.8541685342788696
7,586,0.7977281808853149
8,103,0.8852440714836121
8,457,0.8788303732872009
8,391,0.875507116317749
8,497,0.872849702835083
8,577,0.8716633319854736
8,443,0.8677062392234802
8,458,0.8654969930648804
8,409,0.8649123907089233
8,228,0.8648532629013062
8,247,0.8631346225738525
8,504,0.8613408207893372
8,240,0.8612017035484314
8,370,0.8226763010025024
8,376,0.8479294180870056
8,554,0.8493114709854126
9,583,0.8685001134872437
9,343,0.8683316111564636
9,569,0.8627739548683167
9,412,0.856005847454071
9,538,0.8460246324539185
9,498,0.8440600037574768
9,95,0.8425470590591431
9,497,0.8421721458435059
9,507,0.8419872522354126
9,250,0.8398436307907104
9,449,0.8391931056976318
9,18,0.8356938362121582
9,431,0.8118692636489868
10,492,0.9491212964057922
10,329,0.9488934874534607
10,500,0.9322729706764221
10,42,0.9236907362937927
10,373,0.9217322468757629
10,90,0.9199475646018982
10,518,0.9140200614929199
10,127,0.9131693243980408
10,82,0.9131355881690979
10,371,0.9099864363670349
10,572,0.9096954464912415
10,470,0.9090988636016846
10,48,0.8438941240310669
10,78,0.8536829948425293
10,119,0.8815218806266785
10,193,0.8674226999282837
10,224,0.8944076895713806
10,291,0.82780921459198
10,420,0.7555131912231445
10,482,0.9085988402366638
10,530,0.867572009563446
11,46,0.9439439177513123
11,459,0.9256883859634399
11,76,0.9112603068351746
11,73,0.9045476913452148
11,74,0.9045476913452148
11,108,0.8945998549461365
11,375,0.8923237919807434
11,421,0.8921366930007935
11,372,0.8879403471946716
11,217,0.8857897520065308
11,286,0.8847360014915466
11,320,0.8829801082611084
11,55,0.8527308702468872
11,190,0.8641030788421631
11,213,0.7841346263885498
11,275,0.8047230243682861
11,300,0.8370515704154968
11,428,0.8669472932815552
11,521,0.8629645109176636
11,552,0.8047230243682861
11,565,0.8538588285446167
12,321,0.821790874004364
12,261,0.8153275847434998
12,569,0.8136007189750671
12,189,0.8123824000358582
12,253,0.808514416217804
12,464,0.8078790307044983
12,425,0.8063541054725647
12,389,0.8057456016540527
12,422,0.8040891885757446
12,472,0.7997332215309143
12,184,0.7981953620910645
12,196,0.7939996719360352
13,405,1.0
13,14,1.0
13,435,0.9381971955299377
13,450,0.9109323024749756
13,409,0.8958966135978699
13,101,0.8931196928024292
13,305,0.8925847411155701
13,538,0.8921383023262024
13,97,0.8913043737411499
13,391,0.890110969543457
13,250,0.888070285320282
13,103,0.8724153637886047
13,163,0.857612669467926
13,248,0.8684943914413452
13,311,0.862450897693634
14,405,1.0
14,14,1.0
14,435,0.9381971955299377
14,450,0.9109323024749756
14,409,0.8958966135978699
14,101,0.8931196928024292
14,305,0.8925847411155701
14,538,0.8921383023262024
14,97,0.8913043737411499
14,391,0.890110969543457
14,250,0.888070285320282
14,103,0.8724153637886047
14,163,0.857612669467926
14,248,0.8684943914413452
14,311,0.862450897693634
15,151,0.8697366118431091
15,386,0.8524543046951294
15,313,0.847689688205719
15,267,0.8332793116569519
15,562,0.829336404800415
15,34,0.8229700922966003
15,441,0.8182268738746643
15,179,0.8159142136573792
15,339,0.8106026649475098
15,296,0.8087093830108643
15,268,0.8076179623603821
15,265,0.806297779083252
15,185,0.7918782234191895
15,439,0.7912099957466125
16,422,0.93598872423172
16,19,0.8173274397850037
16,56,0.8172966241836548
16,378,0.8164340853691101
16,546,0.8157078623771667
16,460,0.8137543797492981
16,33,0.8123915791511536
16,499,0.8097622394561768
16,161,0.809190034866333
16,88,0.807711124420166
16,319,0.806857705116272
16,536,0.8031156659126282
16,272,0.7831708788871765
16,454,0.7647917866706848
16,535,0.7918447852134705
16,556,0.7693619728088379
17,463,0.9355825185775757
17,539,0.8905468583106995
17,390,0.8828808069229126
17,563,0.8623486757278442
17,75,0.8524226546287537
17,534,0.8500717282295227
17,210,0.8465116620063782
17,458,0.845613420009613
17,239,0.8423495292663574
17,547,0.8302404880523682
17,554,0.8264914155006409
17,456,0.8238651752471924
17,377,0.7522689700126648
17,544,0.7689482569694519
17,545,0.7852188348770142
17,556,0.767177939414978
18,417,0.8990532159805298
18,172,0.8932979106903076
18,449,0.85562664270401
18,584,0.8484435081481934
18,529,0.8483202457427979
18,112,0.8481114506721497
18,389,0.84747713804245
18,296,0.8463189005851746
18,462,0.8399822115898132
18,342,0.8399822115898132
18,346,0.8393328785896301
18,569,0.8382450342178345
18,208,0.8278879523277283
18,393,0.8263747096061707
19,56,0.8806635141372681
19,478,0.8503747582435608
19,564,0.8500507473945618
19,408,0.8356987237930298
19,26,0.831632137298584
19,192,0.8281809687614441
19,422,0.8249013423919678
19,401,0.8212584257125854
19,271,0.8192330598831177
19,57,0.8123885989189148
19,540,0.8121935129165649
19,304,0.8040764927864075
19,413,0.762119710445404
19,581,0.8112711906433105
20,175,0.8756452202796936
20,356,0.8584988713264465
20,43,0.8361901640892029
20,388,0.8249549269676208
20,41,0.8211552500724792
20,583,0.8193615674972534
20,24,0.8173246383666992
20,101,0.8165779113769531
20,299,0.8154754638671875
20,286,0.8154338598251343
20,507,0.8144821524620056
20,226,0.813085675239563
20,512,0.7465692162513733
21,310,0.9388134479522705
21,315,0.93639075756073
21,129,0.9247682690620422
21,105,0.9107091426849365
21,61,0.907901406288147
21,124,0.9064455628395081
21,60,0.9004473090171814
21,150,0.8974094390869141
21,294,0.8974013328552246
21,79,0.8898767232894897
21,158,0.8880673050880432
21,394,0.82846599817276
22,116,0.9074617624282837
22,560,0.8834884762763977
22,523,0.8632653951644897
22,364,0.8605533242225647
22,249,0.8567829728126526
22,114,0.8548519015312195
22,337,0.8534773588180542
22,77,0.8423026204109192
22,588,0.8357300758361816
22,199,0.8038421273231506
22,55,0.7929413914680481
22,388,0.7864410281181335
23,406,0.9376901984214783
23,83,0.936744213104248
23,149,0.9326756596565247
23,139,0.9312769174575806
23,363,0.92954421043396
23,331,0.9270890951156616
23,141,0.9268677830696106
23,365,0.925463855266571
23,142,0.9252188205718994
23,235,0.9230641722679138
23,145,0.9220322370529175
23,231,0.9213457703590393
23,29,0.8770476579666138
23,80,0.8809422254562378
23,94,0.859171450138092
23,98,0.8813419342041016
23,166,0.8829354643821716
23,203,0.8444284796714783
23,221,0.91474848985672
23,230,0.9010282754898071
23,233,0.9020255208015442
23,234,0.8784018158912659
23,236,0.9128137230873108
23,237,0.9167932868003845
23,246,0.8787381649017334
23,256,0.8792574405670166
23,267,0.8389384150505066
23,275,0.8284857869148254
23,289,0.9159821271896362
23,312,0.9202976822853088
23,319,0.8430095911026001
23,323,0.8879765272140503
23,326,0.8610361814498901
23,327,0.8412225842475891
23,328,0.9111807942390442
23,349,0.8795692920684814
23,410,0.8181560635566711
23,426,0.8809422254562378
23,432,0.9083644151687622
23,444,0.8238105177879333
23,474,0.8800959587097168
23,525,0.8396697044372559
23,552,0.8284857869148254
23,565,0.8510081768035889
24,218,0.964620053768158
24,280,0.8876845836639404
24,510,0.8602079749107361
24,43,0.8587406277656555
24,112,0.8543739318847656
24,175,0.8534061312675476
24,485,0.8509194254875183
24,182,0.8484539985656738
24,499,0.846896767616272
24,571,0.8442268371582031
24,42,0.8402878046035767
24,518,0.8400334119796753
24,122,0.7986740469932556
24,361,0.8242875337600708
24,377,0.7454027533531189
24,378,0.8006835579872131
24,418,0.8364083170890808
24,454,0.7757730484008789
24,512,0.829295814037323
24,581,0.8138511180877686
25,334,0.8057601451873779
25,32,0.8020293712615967
25,176,0.7979661226272583
25,180,0.7971320748329163
25,445,0.7956897020339966
25,85,0.7944290041923523
25,525,0.7921282649040222
25,444,0.7918797731399536
25,477,0.7910470366477966
25,161,0.7909450531005859
25,421,0.7898741960525513
25,308,0.7871259450912476
26,304,0.8973525762557983
26,192,0.8863370418548584
26,478,0.8820763826370239
26,540,0.8731589317321777
26,56,0.8599464297294617
26,57,0.858183741569519
26,156,0.854224681854248
26,271,0.8503914475440979
26,252,0.8389961123466492
26,309,0.8321529030799866
26,524,0.8232511281967163
26,125,0.8073907494544983
26,352,0.8210687637329102
26,548,0.7693002223968506
27,169,0.9065476059913635
27,576,0.8904198408126831
27,466,0.8772416114807129
27,91,0.8619216680526733
27,125,0.8570050001144409
27,202,0.8523998856544495
27,156,0.8472219109535217
27,473,0.8407546877861023
27,130,0.8310409784317017
27,279,0.8263861536979675
27,465,0.8263861536979675
27,172,0.8218128681182861
27,59,0.7663875222206116
27,369,0.7776055335998535
28,371,0.9370478987693787
28,572,0.930324912071228
28,100,0.9300357103347778
28,477,0.9283825755119324
28,553,0.9246808886528015
28,82,0.9204210638999939
28,117,0.9194849133491516
28,501,0.9183595776557922
28,316,0.9172296524047852
28,442,0.9165787696838379
28,368,0.9155738949775696
28,464,0.9145359992980957
28,35,0.877856433391571
28,57,0.8236087560653687
28,120,0.8588483333587646
28,165,0.9123861193656921
28,204,0.9121221303939819
28,253,0.879795491695404
28,421,0.895112931728363
28,470,0.9090976119041443
28,496,0.9123861193656921
29,110,0.9568281769752502
29,186,0.9169755578041077
29,109,0.8854509592056274
29,31,0.8834467530250549
29,98,0.8758048415184021
29,231,0.8753235340118408
29,226,0.8747699856758118
29,285,0.8740981221199036
29,491,0.8740981221199036
29,289,0.872727632522583
29,333,0.8721060752868652
29,203,0.8574758768081665
29,446,0.8443950414657593
30,50,0.8069936037063599
30,508,0.7419167160987854
30,277,0.7385364770889282
30,398,0.7341204285621643
30,399,0.7190069556236267
30,64,0.7050970792770386
30,227,0.6975238919258118
30,130,0.6965270042419434
30,251,0.6952322721481323
30,309,0.6944959759712219
30,215,0.6807669401168823
30,38,0.6802260279655457
31,194,0.9288710355758667
31,497,0.9104071259498596
31,285,0.9088814854621887
31,491,0.9088814854621887
31,221,0.9080773591995239
31,289,0.9075011014938354
